2023-03-31 14:15:15.193 | 00000
2023-03-31 14:15:15.195 | 010101
2023-03-31 14:15:15.205 | STRT: A
2023-03-31 14:15:15.206 | 020202
2023-03-31 14:15:15.230 | STRT: B
2023-03-31 14:15:15.231 | 030303
2023-03-31 14:15:15.233 | STOP
2023-03-31 14:15:15.235 | 050505
2023-03-31 14:15:15.236 | STRT: C
2023-03-31 14:15:15.237 | 060606
2023-03-31 14:15:15.238 | STRT: D
2023-03-31 14:15:15.238 | 070707
2023-03-31 14:15:15.239 | 080808
2023-03-31 14:15:15.239 | STOP
2023-03-31 14:15:15.240 | 090909
2023-03-31 14:15:15.240 | 101010
2023-03-31 14:15:15.241 | 111111
2023-03-31 14:15:15.242 | STOP
2023-03-31 14:15:15.243 | 121212
2023-03-31 14:15:15.243 | STRT: E
2023-03-31 14:15:15.244 | STRT: F
2023-03-31 14:15:15.245 | STOP
2023-03-31 14:15:15.245 | STOP
