2023-03-31 14:14:48.440 | 00000
2023-03-31 14:14:48.441 | 010101
2023-03-31 14:14:48.445 | STRTA
2023-03-31 14:14:48.445 | 020202
2023-03-31 14:14:48.446 | STRTB
2023-03-31 14:14:48.446 | 030303
2023-03-31 14:14:48.447 | STOP
2023-03-31 14:14:48.447 | 050505
2023-03-31 14:14:48.448 | STRTC
2023-03-31 14:14:48.448 | 060606
2023-03-31 14:14:48.449 | STRTD
2023-03-31 14:14:48.449 | 070707
2023-03-31 14:14:48.449 | 080808
2023-03-31 14:14:48.455 | STOP
2023-03-31 14:14:48.455 | 090909
2023-03-31 14:14:48.460 | 101010
2023-03-31 14:14:48.460 | 111111
2023-03-31 14:14:48.463 | STOP
2023-03-31 14:14:48.464 | 121212
2023-03-31 14:14:48.464 | STRTE
2023-03-31 14:14:48.465 | STRTF
2023-03-31 14:14:48.465 | STOP
2023-03-31 14:14:48.466 | STOP
