2023-03-31 14:11:29.906 | 00000
2023-03-31 14:11:29.908 | 010101
2023-03-31 14:11:29.913 | Logger started: A
2023-03-31 14:11:29.914 | 020202
2023-03-31 14:11:29.915 | Logger started: B
2023-03-31 14:11:29.915 | 030303
2023-03-31 14:11:29.916 | Logger stopped.
2023-03-31 14:11:29.916 | 050505
2023-03-31 14:11:29.921 | Logger started: C
2023-03-31 14:11:29.923 | 060606
2023-03-31 14:11:29.930 | Logger started: D
2023-03-31 14:11:29.932 | 070707
2023-03-31 14:11:29.932 | 080808
2023-03-31 14:11:29.934 | Logger stopped.
2023-03-31 14:11:29.934 | 090909
2023-03-31 14:11:29.939 | 101010
2023-03-31 14:11:29.940 | 111111
2023-03-31 14:11:29.941 | Logger stopped.
2023-03-31 14:11:29.942 | 121212
2023-03-31 14:11:29.943 | Logger started: E
2023-03-31 14:11:29.944 | Logger started: F
2023-03-31 14:11:29.946 | Logger stopped.
2023-03-31 14:11:29.947 | Logger stopped.
